"location","location_qid"
"Сша, Штат Джорджия","Q1428"
"Мехико","Q1489"
"Мексика","Q96"
"Франция, Кан","Q41185"
"Франция, Арроманш","Q212620"
"Ямало-Ненецкий Автономный Округ","Q6407"
"Алушта","Q46001"
"Красноярский Край","Q6563"
"Хабаровский Край","Q7788"
"Архангельская Область","Q1875"
"Космодром Плесецк","Q15778"
"Москва, Мгу","Q13164"
"Чувашия, село Шемурша","Q2038936"
"Киев, Мариинский Дворец","Q732489"
"Москва, Российская Государственная Библиотека","Q1048694"
"Москва, Колонный Зал","Q3408535"
"Кудымкар","Q155936"
"Бангкок","Q1861"
"Малайзия, Путраджайя","Q182378"
"Малайзия, Сепанг","Q172738"
"Краснодарский Край, Поселок Октябрьский","Q348520"
"Краснодарский, Край, Поселок Рисоопытный","Q4394807"
"Сша, Штат Мэриленд, Кемп-Дэвид","Q309202"
"Сша, Штат Мэриленд","Q1391"
"Нью-Йорк, Штаб-Квартира Оон","Q11297"
"Нью-Йорк, Гостиница «Уолдорф Астория»","Q1123997"
"Ялта, Ливадийский Дворец","Q1055311"
"Краснодарский Край, Ейск","Q135616"
"Херсонская Область, Остров Бирючий","Q4087206"
"Московская Область, Красногорск","Q155569"
"Сардиния, Порто-Ротондо","Q2715972"
"Порт Ла Маддалена","Q62670183"
"Алтайский Край, Белокуриха","Q102659"
"Жуковский","Q136435"
"Куала-Лумпур","Q1865"
"Путраджайя","Q182378"
"Нижегородская Область, Саров","Q193522"
"Ленинградская Область, Поселок Старая Ладога","Q216794"
"Амурская Область, Поселок Талакан","Q3980344"
"Лондон, Спенсер-Хаус","Q2505545"
"Гринвич","Q693450"
"Лондон, Гилдхолл","Q81279"
"Эдинбург","Q23436"
"Санкт-Петербург, Эрмитаж","Q132783"
"Государственный Музей-Заповедник «Петергоф»","Q4360238"
"Город Пушкин","Q7947"
"Санкт-Петербург, Мариинский Театр","Q207028"
"Санкт-Петербург, Лайнер «Сильвер Виспер»","Q656"
"Москва, Кремль, Мраморный Зал","Q113408822"
"Тамбов","Q3544"
"Тамбовская Область","Q3550"
"Москва, Генпрокуратура","Q2387440"
"Тюмень","Q5815"
"Москва, Госпиталь Им. Бурденко","Q4139189"
"Москва, Новая Сцена Большого Театра","Q4322447"
"Бордо","Q1479"
"Бордо, Гостиница «Меркюр»","Q111877360"
"Париж, Институт Франции","Q377066"
"Париж, Гостиница «Бристоль»","Q18326911"
"Париж, Здание Мэрии","Q4189950"
"Париж, Люксембургский Дворец","Q329852"
"Москва. Большой Театр","Q138908"
"Челябинская Область","Q5714"
"Башкирия, Абзаково","Q331699"
"Дели, Президентский Дворец","Q677555"
"Дели","Q1353"
"Рязанская Область","Q2753"
"Москва, резиденция «Волынское»","Q4124453"
"Царское Село","Q7947"
"Норвегия","Q20"
"Адыгея, Майкоп","Q3752"
"Москва, Центральная Клиническая Больница","Q5060576"
"Кишинев","Q21197"
"Запорожье","Q157835"
"Москва, Центральная избирательная комиссия","Q190362"
"Сочи, санаторий «Дагомыс»","Q124884756"
"Аэропорт «Внуково-2»","Q273462"
"Московская Область, Истринский Район, Деревня Кострово","Q4235536"
"Кемеровская Область, Междуреченск","Q158751"
"Новокузнецк","Q93910"
"Приморский Край, Бухта Алеут","Q16272899"
"Канада, Кананаскис","Q3085078"
"Москва, Московская Консерватория","Q215539"
"Санкт-Петербург, Юсуповский Дворец","Q2991838"
"Пратика-Ди-Маре (База Ввс Италии)","Q1475096"
"Веймар","Q3955"
"Иркутская Область, Байкальск","Q104367"
"Байкальск (Иркутская Область)","Q104367"
"Таймырский (Долгано-Ненецкий) Автономный Округ","Q216301"
"Одесса","Q1874"
"Москва, Кремль, Соборная Площадь","Q2570082"
"Познань","Q268"
"Малоярославец, Калужская Область","Q158005"
"Гусь-Хрустальный, Владимирская Область","Q134735"
"Переславль-Залесский, Ярославская Область","Q178188"
"Приморск (Ленинградская Область)","Q15307"
"Чекерс","Q1070192"
"Холтон","Q2076859"
"Харьков","Q42308"
"Салоники","Q17151"
"Вергина","Q213916"
"Москва, Спорткомлекс Цска","Q32140"
"Новый Уренгой","Q175470"
"Техас","Q1439"
"Хьюстон","Q16555"
"Вашингтон, Белый Дом","Q35525"
"Москва, Государственная Резиденция","Q48804510"
"Якутия, Ленск","Q157493"
"Москва, Ново-Огарево","Q1510282"
"Дрезден, Дворец Цвингер","Q155107"
"Дюссельдорф","Q1718"
"Эссен","Q2066"
"Берлин, Отель «Штайгенбергер»","Q107187202"
"Берлин, Дворец Бельвю","Q317091"
"Ставропольский Край, Кисловодск","Q153676"
"Кабардино-Балкария, Село Дугулубгей","Q5318620"
"Украина, Киев","Q1899"
"Архангельская Область, Соловецкие Острова","Q205711"
"Карелия. Остров Кижи","Q205244"
"Санкт-Петербург, Мариинский Дворец","Q732489"
"Москва, Дворец Спорта «Сокольники»","Q1437562"
"Сочи, «Дагомыс»","Q124884756"
"Сочи, Комплекс «Дагомыс»","Q124884756"
"Сочи, Туристический Комплекс «Чайные Домики»","Q16716190"
"Белоруссия, Витебск","Q102217"
"Генуя, Дворец Дориа Спинола","Q3361298"
"Генуя, Дворец Дожей","Q189883"
"Генуя, Морской Вокзал","Q1515803"
"Генуя, Теплоход «Юропиэн Вижн»","Q1515803"
"Генуя","Q1449"
"Приштина, Косово","Q25270"
"Любляна, Замок «Брдо»","Q903426"
"Китай, Шанхай","Q8686"
"Башкирия","Q5710"
"Москва, Малый Театр","Q1369676"
"Москва, Торгово-промышленная палата","Q871588"
"Кириллов, Кирилло-Белозерский Музей-Заповедник","Q4221362"
"Кириллов, Вологодская Область","Q2015"
"Иркутская Область","Q6585"
"Стокгольм, Конференц-Зал «Эльвше»","Q1754"
"Хакасия, Абакан","Q875"
"Ханой, Дворец Культуры И Дружбы","Q10751146"
"Сеул, Гостиница «Лоттэ»","Q494895"
"Сеул, «Голубой Дворец»","Q494577"
"Омская Область","Q5835"
"Томск, Зао «Горэлектросеть»","Q976"
"Австрия, Санкт-Антон","Q693560"
"Австрия, Санкт-Кристоф","Q115218"
"Австрия, Федеральная Земля Тироль","Q42880"
"Вена, Федеральная Палата Экономики","Q248843"
"Вена, Национальный Совет","Q871363"
"Вена, Площадь Шварценбергплатц","Q686552"
"Вена, Отель «Империал»","Q1630919"
"Баку, Президентский Дворец","Q2114972"
"Московская Область, Сергиев Посад","Q193722"
"Московская Область, Ногинск","Q175480"
"Оттава","Q1930"
"Оттава, Резиденция «Ридо-Холл»","Q2151874"
"Оттава, Аэропорт «Макдональд-Картье»","Q1319833"
"Куба, Варадеро","Q726751"
"Гавана, Дворец Революции","Q6058329"
"Гавана, Резиденция «Лагито»","Q1563"
"Куба, Лурдес","Q2027536"
"Магнитогорск, Дворец Спорта","Q4257193"
"Минск, Резиденция «Заславль»","Q200917"
"Москва, Университет Им. Н.Э.Баумана","Q1472245"
"Новосибирск, Выставочный Центр Сибирского Отделения Ран","Q883"
"Новосибирск, Институт Ядерной Физики","Q1063329"
"Новосибирск, Новосибирский Государственный Технический Университет","Q1467445"
"Бруней, Бандар-Сери-Бегаван","Q9279"
"Улан-Батор, Российское Посольство","Q23430"
"Ростов-На-Дону, Донская Государственная Публичная Библиотека","Q4166342"
"Павловск, Ленинградская Область","Q2191"
"Москва, «Шереметьево-1»","Q192733"
"Мумбаи, Центр Ядерных Исследований Имени Бхабха","Q854682"
"Индия, Мумбаи","Q1156"
"Индия","Q668"
"Нью-Дели, Российское Посольство","Q987"
"Нью-Дели, Президентский Дворец","Q677555"
"Нью-Дели, Хайдарабадский Дворец","Q5953898"
"Нью-Дели, Резиденция В Гостинице «Маурья Шератон»","Q987"
"Мурманская Область, Видяево","Q1249732"
"Форос","Q1437932"
"Крым, Резиденция «Мухалатка»","Q4333752"
"Сочи, Дагомыс","Q990176"
"Валдай","Q132947"
"Псковская Область","Q2218"
"Япония, Окинава","Q766445"
"Пхеньян","Q18808"
"Пекин, Дом Народных Собраний","Q72891"
"Северная Осетия, Моздок","Q46639"
"Берлин, Дом Немецкой Экономики","Q64"
"Берлин, Отель «Палас»","Q64"
"Берлин, Замок Бельвью","Q64"
"Москва, Генеральная Прокуратура","Q2387440"
"Курская Область","Q3178"
"Белгородская Область, Прохоровка","Q258359"
"Москва, Государственная Дума","Q715641"
"Горки-9","Q4144338"
"Грозный, аэропорт Северный","Q2426249"
"Ханкала","Q4495489"
"Москва, Администрация Московской Области","Q649"
"Москва, Российская Академия Государственной Службы","Q2376759"
"Москва, Центр Стратегических Исследований","Q4398081"
"Сургут","Q183002"
"Звездный Городок","Q335565"
"Москва, Конференц-Зал Информагентства Итар-Тасс","Q71783401"
"Волгоград, Здание Областной Администрации","Q87532086"
"Иркутск, «Байкалбизнесцентр»","Q6576"
"Москва, Российская Академия Наук","Q83172"
"Резиденция «Горки-9»","Q4144338"
"Санкт-Петербург, Александро-Невская Лавра","Q946428"
"Москва, Спорткомплекс «Олимпийский»","Q32960"
"Москва, Спорткомплекс «Дружба»","Q649"
"Чеченская Республика","Q5187"
"Москва, Дом Правительства России. Экстренное Заседание Правительства России","Q844124"
"Святая Гора Афон","Q130321"
"село Верхняя Иволга","Q18404675"
"Крымск","Q16978"
"Заславль","Q200917"
"Украина, Донецк","Q43070"
"Нижегородская область, Гороховецкий полигон","Q4145794"
"Южно-Курильск","Q600699"
"Кипр","Q229"
"Московская область, Раменское","Q163643"
"Брянская область","Q2810"
"Гудаута","Q242593"
"Сухум","Q40811"
"Малобыково","Q21337980"
"Москва, центр образования №627","Q4525102"
"Орловская область, Малоархангельск","Q157990"
"Керзатц","Q22369922"
"Монголия, Улан-Батор","Q23430"
"Бурятия, Улан-Удэ","Q6816"
"Бурятия, село Верхняя Иволга","Q18404675"
"Северная Осетия, Владикавказ","Q5239"
"Таджикистан, Душанбе","Q9365"
"Центральный Московский ипподром","Q2382815"
"Москва, приёмная Президента России","Q649"
"Намибия","Q1030"
"Махачкала, Дагестан","Q5118"
"Москва, «Экспоцентр»","Q2023657"
"Московкая область, Барвиха","Q2042212"
"Авиабаза ВВС России Кубинка","Q1984989"
"Сочи, Южный федеральный центр спортивной подготовки","Q39420"
"Москва, МГУ","Q13164"
"Мадрид, Центр искусств Королевы Софии","Q460889"
"Стрельна, Константиновсктй дворец","Q588680"
"Узбекистан, Ташкент","Q269"
"Московская область, Сергиев Посад, с.Топорково","Q18803928"
"Записано в ходе визита в Индию (Нью-Дели)","Q987"
"Венесуэла, порт Ла-Гуайра, большой противолодочный корабль «Адмирал Чабаненко»","Q4057880"
"Венесуэла, Каракас","Q1533"
"Бразилия, Рио-де-Жанейро","Q8678"
"Перу, Лима","Q2868"
"Ницца","Q33959"
"Московская область, Дмитровский район, село Рогачёво","Q4395428"
"Архангельская область, космодром Плесецк","Q15778"
"Камчатский край, Вилючинск","Q133093"
"Актюбинск","Q477232"
"Москава, Кремль","Q133274"
"Москва, Выставочный зал ГУМа","Q549498"
"Ярославская область, Углич","Q196786"
"Московский инженерно-физический институт","Q56837"
"Москва, Министерство иностранных дел","Q20901295"
"Брест","Q12193"
"Юридический факультет Санкт-Петербургского государственного университета","Q4534839"
"Москва, Благовещенский собор","Q1160154"
"Сардиния. Порто Ротондо","Q2715972"
"Дубна","Q135466"
"Ливия, Триполи","Q3579"
"Москва, Гостиный двор","Q1538679"
"Москва, Васильевский спуск","Q4365510"
"Санкт-Петербург, Мариинский театр","Q207028"
"Москва, Дом приёмов Правительства","Q4338214"
"Дагестан, с.Ботлих","Q731724"
"Новгородская область, Валдайский Иверский монастырь","Q490102"
"Посёлок Шушары, Ленинградская область","Q2667658"
"Химки, Московская область","Q197582"
"Пушкин, Ленинградская область","Q7947"
"Москва, Министерство Обороны","Q1146492"
"Завидово, Тверская область","Q4183060"
"Моссква, Кремль","Q133274"
"Москва, Колонный Зал","Q3408535"
"Москва, Дом союзов, Колонный зал","Q3408535"
"Висбаден","Q1721"
"Контрольное управление","NA"
"Белгород, Белгородский государственный университет","Q2010483"
"Белгородская область, село Зоринские Дворы","Q21336396"
"Чувашия, деревня Тренькасы","Q13207463"
"Москва, Царицыно","Q147994"
"Ново–Огарево","Q1510282"
"Челябинская область, Чебаркуль, 225-й общевойсковой полигон","Q28650742"
"Киргизстан, Бишкек","Q9361"
"Санкт-Петербург, Петергоф","Q178310"
"Санкт-Петербург, ОАО «Климов»","Q1507207"
"Республика Мордовия, с.Старая Теризморга","Q18173093"
"Республика Мордовия, с. Старая Теризморга","Q18173093"
"Москва, здание мэрии","Q4189950"
"Москва, Кремль, Соборная площадь","Q2570082"
"США, Уолкерс-Пойнт","Q1017467"
"Вена, Палата экономики","Q248843"
"Москва, Кремль, Грановитая палата","Q2307647"
"Самарская область, Волжский Утес","Q4123125"
"Мурманск, атомный ледокол «50 лет Победы»","Q1763"
"Москва, Кремль, Мраморный Зал","Q113408822"
"Москва, Российский научный центр «Курчатовский институт»","Q1794356"
"МОСКВА, КРЕМЛЬ","Q133274"
"Санкт-Петербург, Константиновский Дворец","Q588680"
"Большой Кремлевский дворец, Александровский зал","Q4061452"
"Москва, Государственный Кремлевский дворец","Q2033910"
"Москва, выставочный комплекс «Крокус Экспо»","Q4241564"
"Сочи, санаторий «Русь»","Q39420"
"Москва, Кремль, Круглый зал","Q28667520"
"Нью-Дели, Посольство России в Индии","Q16687395"
"Нью-Дели, Хайдарабадский Дворец","Q5953898"
"Киев, Секретариат Президента Украины","Q97592719"
"Санкт-Петербург, дом Державина","Q12130484"
"Ленинградская область, Михайловская дача","Q4239326"
"Хельсинки, мэрия","Q1393988"
"Ханой, здание ЦК Коммунистической партии Вьетнама","Q1858"
"Ханой, Канцелярия Правительства Вьетнама","Q10833487"
"Ханой, Национальное собрание Вьетнама","Q1765001"
"Ханой, президентский дворец","Q864758"
"Ханой, Президентский дворец","Q2114972"
"Ханой, Национальный конгресс-центр","Q10828427"
"Москва, «Внуково-2»","Q273462"
"Москва, Главное разведывательное управление Генерального штаба Вооруженных Сил Российской Федерации","Q115782"
"Санкт-Петербург, Таврический дворец","Q676093"
"Финляндия, Лахти","Q28911"
"Зеленоград, НИИМЭ и завод «Микрон»","Q4310655"
"Казахстан, Уральск","Q487439"
"МОСКВА, МАНЕЖ","Q1889165"
"Сочи, комплекс «Русь»","Q39420"
"Калининградская область, Балтийск","Q5660"
"Калининград, Балтийск","Q5660"
"на борту самолета Президента России","NA"
"Ижевск, Удмуртия","Q5422"
"Москва, Большой Кремлевский дворец, Георгиевский зал","Q1370087"
"Ленинградская область, Колпино","Q154738"
"Ленинградская область, Пушкин","Q7947"
"Москва, Президент-отель","Q69797523"
"Москва, Международный Торговый Центр","Q4504006"
"Москва, Центр международной торговли","Q4504006"
"Московская область, пансионат «Лесные дали»","Q126001089"
"Москва, новое здание Верховного Суда России","Q2622450"
"Московский государственный университет имени М.В.Ломоносова","Q13164"
"Сочи, учебно-тренировочная база «Спутник-Спорт»","Q39420"
"Томск, Научная библиотека Томского государственного университета","Q4314466"
"Москва, театр «Современник»","Q1979285"
"Москва, Фундаментальная библиотека МГУ им.М.В.Ломоносова","Q4314464"
"Москва, Чистые пруды","Q2458029"
"Алжир, Президентский дворец Мурадия","Q16510045"
"Прага, Лихтенштейнский дворец","Q12033470"
"Москва, резиденция Патриарха Московского и всея Руси","Q658262"
"Мадрид, дворец Монклоа","Q1367970"
"Мадрид, дворец Сената","Q10343739"
"Мадрид, Королевский Дворец Паласио-Де-Ориенте","Q171517"
"Москва, Патриаршие палаты Кремля","Q1320242"
"Новогорск, Московская область, Академия гражданской защиты МЧС","Q4059230"
"Москва, Кремль, Екатерининский Зал","Q28667520"
"Токио, Сори Контей","Q659013"
"Гаага, дворец Ноордейнде","Q1889721"
"Пенза, областная клиническая больница им.Н.Н.Бурденко","Q5540"
"Лондон, Даунинг-стрит, 10","Q23806"
"Бейонн, штат Нью-Джерси","Q812589"
"Греция, Святая Гора Афон","Q130321"
"Греция, полуостров Халкидики, вилла Галини","Q124798619"
"Казань, Театр оперы и балета имени Мусы Джалиля","Q2047744"
"Мурманская область, Оленегорск","Q176364"
"Алтайский край, Барнаул","Q6014"
"Московская область, Щербинка","Q198388"
"Светлогорск, Калининградская область","Q193595"
"Калининград, Королевские ворота","Q573693"
"Калмыкия, Элиста","Q3977"
"Ленинградская область, поселок Шушары","Q2667658"
"Италия, Милан","Q490"
"Ростовская область, станица Вёшенская","Q2637584"
"Москва, редакция газеты «Комсомольская правда»","Q649"
"Москва, Площадь де Голля","Q4365830"
"Москва, «Президент-отель»","Q69797523"
"Газета «Фигаро» (Франция)","Q216047"
"Москва, Большой кремлевский дворец","Q1370087"
"Москва, Спорткомплекс ЦСКА","Q32140"
"Эчмиадзин","Q183394"
"Париж, Елисейский дворец","Q188190"
"Братислава, Дом правительства","Q2347389"
"Братислава, гора Славин","Q1553111"
"Москва, Большой Кремлевский дворец, Александровский зал","Q4061452"
"Москва, МЧС","Q2624171"
"Польша, Освенцим","Q7342"
"Москва, Фундаментальная библиотека МГУ им.М.В.Ломоносова на Воробьёвых горах","Q4314464"
"Санкт-Петербургская академическая филармония имени Д.Д.Шостаковича","Q1852398"
"Новосибирск, Академгородок","Q83627"
"Германия, земля Шлезвиг-Гольштейн, замок Готторф","Q647987"
"Тверская область, Удомля","Q196798"
"Тверская область, город Удомля","Q196798"
"Московская область, Алабинский полигон Таманской дивизии","Q16019883"
"Анкара, Союз палат и бирж Турции","Q7886528"
"Индия, Бангалор","Q1355"
"Индия, Нью-Дели","Q987"
"Москва, аэропорт «Внуково-2»","Q273462"
"Кремль, Москва","Q649"
"Пансионат «Лесные дали»","Q126001089"
"Москва, Кремль, Георгиевский зал","Q1370087"
"Гипроземгородок, Таджикистан","Q9365"
"Москва, здание Правительства Москвы","Q251006"
"Северная Осетия, Беслан","Q105035"
"Ялта, Ливадийский дворец","Q1055311"
"Краснодарский край, Геленджик","Q15775"
"Москва, зал заседаний Совета Федерации","Q74377002"
"Московский ипподром","Q2382815"
"Черниговская область, с.Синьковка","Q4416449"
"Камчатская область, Вилючинск","Q133093"
"Приморский край, Владивосток, рыболовный траулер «Арчер»","Q959"
"Астана, Евразийский национальный университет им. Л.Н.Гумилева","Q127745"
"Астана, Евразийский университет им. Л.Н.Гумилева","Q127745"
"США, штат Джорджия, Си-Айленд","Q2261880"
"Мехико, Марсово поле","Q217925"
"Крым, Ялта","Q128499"
"Салехард, Окружной центр национальных культур","Q92790286"
"Алушта, пансионат «Море»","Q46001"
"Липецк, завод «Стинол»","Q3973600"
"Москва, ГЦКЗ «Россия»","Q4146995"
"Москва, Федеральное космическое агентство","Q190795"
"Главный центр испытаний и управления космическими средствами, Краснознаменск, Московская область","Q1697"
"Москва, Красная площадь, 5","Q41116"
"Москва, избирательный участок № 2039","Q649"
"Главное контрольное управление","Q649"
"Плесецк","Q15778"
"Москва, МГУ им. М.В.Ломоносова","Q13164"
"Москва, Институт биоорганической химии","Q4201431"
"Чувашия, село Шемурша","Q2038936"
"Москва, Генеральная прокуратура","Q2387440"
"Киев, Киево-Печерская лавра","Q242711"
"Киев, национальный дворец «Украина»","Q11825"
"Киев, Мариинский дворец","Q732489"
"Москва, Технический лицей №1501","Q18341308"
"Москва, Российская государственная библиотека","Q1048694"
"Москва. Колонный зал","Q3408535"
"Париж, аэропорт «Орли»","Q223416"
"Москва, студия «Мосфильм»","Q141336"
"Кант, Киргизия","Q1026291"
"Путраджайя, Малайзия","Q182378"
"Поселок Октябрьский, Краснодарский край","Q3680"
"США, штат Мэриленд, Кемп-Дэвид","Q309202"
"Нью-Йоркская фондовая биржа","Q13677"
"Нью-Йорк, штаб-квартира ООН","Q11297"
"Краснодарский край, Ейск","Q135616"
"Краснодарский край, Новороссийск","Q48256"
"Краснодарский край, Туапсе","Q196702"
"Ростов-на-Дону – Таганрог, теплоход «Казань»","Q908"
"Нижегородская область, Саров","Q193522"
"Саров, Соборная площадь","Q193522"
"Карелия, Петрозаводск","Q1895"
"Старая Ладога","Q216794"
"Амурская область, поселок Талакан, Бурейская ГЭС","Q1010573"
"Эдинбург, библиотека «Сигнет»","Q17570649"
"Лондон, Букингемский дворец","Q42182"
"Эвиан, Франция","Q273017"
"Петергоф, Большой дворец","Q1258473"
"Санкт-Петербург, акватория большой Невы","Q27780"
"Пушкин, Екатерининский дворец","Q1961082"
"Стрельна, Дворец конгрессов","Q588680"
"Санкт-Петербург, корабль «Сильвер Виспер»","Q656"
"Тула, Конструкторское бюро приборостроения","Q1783007"
"Шипка","Q133961"
"Сан-Матео (США, штат Калифорния)","Q169943"
"Москва, резиденция «Волынское»","Q4124453"
"Завидово","Q16693141"
"Москва, Центральная избирательная комиссия","Q190362"
"Сочи, санаторий «Дагомыс»","Q124884756"
"Междуреченск, Кемеровская область","Q6076"
"Кемеровская область, Междуреченск","Q158751"
"Дальневосточный государственный морской заповедник","Q2166757"
"Владивосток, БПК «Маршал Шапошников»","Q959"
"База ВВС Италии Пратика-ди-Маре","Q1475096"
"База ВВС Италии Пратика-ди-Маре","Q1475096"
"Санкт-Петербург, Санкт-Петербургский государственный университет","Q27621"
"Москва, пансионат «Бор»","Q649"
"Иркутская область, Байкальск","Q104367"
"Таймырский (Долгано-Ненецкий) автономный округ, поселок Талнах","Q1010995"
"Москва, редакция газеты «Известия»","Q4345944"
"Великобритания, Холтон","Q2076859"
"Москва, зал церковных соборов храма Христа Спасителя","Q194474"
"Штат Техас, Кроуфорд","Q484461"
"Вашингтон, Белый дом","Q35525"
"Москва, Государственная резиденция","Q649"
"Ставропольский край, Кисловодск","Q153676"
"Москва, Московский государственный педагогический университет","Q1778321"
"Украина, Херсонес","Q638445"
"Витебск","Q102217"
"Приштина","Q25270"
"Ленск","Q157493"
"Москва, Торгово-промышленная палата","Q871588"
"Кириллов","Q153453"
"Московская область, Королев","Q155309"
"Томск – Омск","Q976"
"Днепропетровск","Q48256"
"Москва, Трапезная палата храма Христа Спасителя","Q194474"
"Москва, аэропорт Внуково-2","Q273462"
"Ногинск","Q175480"
"Москва, МГТУ им. Н.Э.Баумана","Q1472245"
"Опубликована в германской газете «Франкфуртер альгемайне»","NA"
"Ростов-на Дону","Q908"
"Токио, аэропорт Ханэда","Q204853"
"Япония, Окинава, Международный медиацентр","Q600614"
"Моздок","Q46639"
"Моздок, Северная Осетия","Q46639"
"Белгородская область","Q3329"
"Опубликовано в российских СМИ","NA"
"Челябинская область, Снежинск","Q196357"
"Грозный, аэропорт Северный","Q2426249"
"Московская область, Орехово-Зуево, Демиховский машиностроительный завод","Q4157597"
"Москва, конференц-зал информационного агентства ИТАР-ТАСС","Q223799"
"Иркутская область, Ангарский Хутор","Q4065062"
"Дубай","Q612"
"Хабаровский край","Q7788"
"Пензенская область","Q5545"
"Канада","Q16"
"Новосибирская область","Q5851"
"Киншаса","Q3838"
"Нижегородская область","Q2246"
"Самарская область","Q1727"
"Калужская область, Обнинск","Q175651"
"Кот-д'Ивуар, Абиджан","Q1515"
"Новороссийск, Краснодарский край","Q3680"
"Феодосия","Q158491"
"г. Ейск, Краснодарский край","Q135616"
"Вьетнам","Q881"
"Катовице, Польша","Q588"
"Новгород","Q2235"
"Марракеш","Q101625"
"о. Большой Тютерс","Q497267"
"Владивосток, поселок Барабаш","Q2658770"
"Республика Алтай","Q5971"
"Иркутская область","Q6585"
"Липецкая область","Q3510"
"Итуруп","Q215727"
"Австрия, Лаксенбург","Q699437"
"Китай, Гуйян","Q192271"
"Башкортостан","Q5710"
"ст.Новотитаровская","Q984871"
"Малоярославец","Q158005"
"Рига","Q1773"
"Украина. Киев, Одесса","Q1874"
"Всеволожск","Q15248"
"Томская область","Q5884"
"Канкун","Q8969"
"Япония","Q17"
"Алчевск","Q161144"
"Саудовская Аравия, Хобар","Q311266"
